skip_id,window_minutes,observed_at,underlying,instrument_id,instrument_class,gate_snapshot_id,gate_features_json,ComparableOpportunityScore,strategy_version,score_version,parameter_profile,source,future_bid,future_ask,mfe_points,mae_points,would_have_hit_target,would_have_hit_stop,forward_r_multiple,status,reason,evidence_profile
202608181147_5_DRREDDY_CE,5,2026-08-18T11:52:16.913795+05:30,DRREDDY,DRREDDY,NSE_STOCK_OPTION,97ea730b14bf,"{""contract_quality_min"": 0.0, ""direction_min"": 4.719366256531573, ""excellent_score_min"": 25.208477782054636, ""execution_quality_min"": 62.278582930756855, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 67.72633870405431, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.401078076306618, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.610305958132045, ""trade_quality_min"": 29.47368421053035}",25.208477782054636,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181148_1_MIDCPNIFTY_PE,5,2026-08-18T11:53:41.091067+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 4.305502297389116, ""excellent_score_min"": 56.23975092803471, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 83.85314241777806, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.061944877304857, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7954545454545325, ""trade_quality_min"": 39.02439024389898}",56.23975092803471,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,82.1,82.9,0.0,-5.900000000000006,False,False,-0.33522727272727304,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181148_2_MIDCPNIFTY_CE,5,2026-08-18T11:53:41.091067+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 52.264760514504665, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 82.56149172856132, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.061944877304857, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.4948045522018803, ""trade_quality_min"": 39.02439024389898}",52.264760514504665,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,102.65,103.6,1.6000000000000085,0.0,False,False,0.07916872835230127,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181148_3_GRASIM_CE,5,2026-08-18T11:53:41.091067+05:30,GRASIM,GRASIM,NSE_STOCK_OPTION,3f3175605513,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 31.30521719741187, ""execution_quality_min"": 83.5672020287405, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 76.31797910051125, ""iv_crush_max"": 24.0, ""market_hostility_max"": 35.0, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.183431952662722, ""trade_quality_min"": 52.88135593219869}",31.30521719741187,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181148_4_HINDUNILVR_CE,5,2026-08-18T11:53:41.091067+05:30,HINDUNILVR,HINDUNILVR,NSE_STOCK_OPTION,7c6072ee0b40,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 30.933334243730755, ""execution_quality_min"": 94.48031844316617, ""expected_required_ratio_min"": 1.1666666666666667, ""final_confidence_min"": 75.23210106062812, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.883330878863536, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.928792569659456, ""trade_quality_min"": 36.363636363635614}",30.933334243730755,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181148_5_HINDUNILVR_PE,5,2026-08-18T11:53:41.091067+05:30,HINDUNILVR,HINDUNILVR,NSE_STOCK_OPTION,7c6072ee0b40,"{""contract_quality_min"": 0.0, ""direction_min"": 7.8465989897503805, ""excellent_score_min"": 29.026517250774795, ""execution_quality_min"": 75.35305031103313, ""expected_required_ratio_min"": 1.1666666666666667, ""final_confidence_min"": 73.08493484464252, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.883330878863536, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.3750954927425603, ""trade_quality_min"": 36.363636363635614}",29.026517250774795,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181123_1_MIDCPNIFTY_PE,30,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.829863096639449, ""excellent_score_min"": 48.97099124073286, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 76.11490499641093, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.812587180487522, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.667865399434889, ""trade_quality_min"": 14.468085106383391}",48.97099124073286,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,90.85,91.55,0.0,-6.4750000000000085,False,False,-0.33264834318006714,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181123_2_MIDCPNIFTY_PE,30,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.829863096639449, ""excellent_score_min"": 48.67099124073286, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 76.11490499641093, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.812587180487522, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.36832412523019475, ""trade_quality_min"": 14.468085106383391}",48.67099124073286,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,104.6,105.2,0.0,-4.0,False,False,-0.1841620626151013,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181123_3_MIDCPNIFTY_PE,30,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.829863096639449, ""excellent_score_min"": 45.770991240732855, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 76.11490499641093, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.812587180487522, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7021650087770559, ""trade_quality_min"": 14.468085106383391}",45.770991240732855,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,82.1,82.9,0.0,-3.3500000000000085,False,False,-0.1960210649502638,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181123_4_MIDCPNIFTY_CE,30,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 45.44161588333776, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 75.5659460674191, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.812587180487522, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6291106662853841, ""trade_quality_min"": 14.468085106383391}",45.44161588333776,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,91.5,92.0,4.074999999999989,0.0,False,False,0.23305690591935876,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181123_5_ASIANPAINT_PE,30,2026-08-18T11:54:14.108801+05:30,ASIANPAINT,ASIANPAINT,NSE_STOCK_OPTION,8512c046e489,"{""contract_quality_min"": 0.0, ""direction_min"": 16.312351319714807, ""excellent_score_min"": 34.564070781127576, ""execution_quality_min"": 77.79337498930099, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 79.19876513682239, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.591216855164426, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.3181545835829769, ""trade_quality_min"": 50.232558139536266}",34.564070781127576,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,46.35,46.8,4.625,0.0,False,False,0.554224086279209,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181139_1_BANKNIFTY_PE,15,2026-08-18T11:54:14.108801+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 52.591108533896346, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 82.22518435461578, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.446243535939118, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.12894906511927057, ""trade_quality_min"": 39.048603929678194}",52.591108533896346,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,309.9,310.9,0.0,-0.30000000000001137,False,False,-0.012000000000000455,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181139_2_MIDCPNIFTY_PE,15,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 47.6228990510731, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 74.69445640390889, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.552304004341675, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6779661016949212, ""trade_quality_min"": 11.294117647070506}",47.6228990510731,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,90.85,91.55,0.0,-5.025000000000006,False,False,-0.262059973924381,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181139_3_MIDCPNIFTY_PE,15,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 47.3228990510731, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 74.69445640390889, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.552304004341675, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5103224309904868, ""trade_quality_min"": 11.294117647070506}",47.3228990510731,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,104.6,105.2,0.0,-3.1750000000000114,False,False,-0.1472976107631645,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181139_4_MIDCPNIFTY_CE,15,2026-08-18T11:54:14.108801+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.2918592680817669, ""excellent_score_min"": 44.655433719327824, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 75.08201418433343, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.552304004341675, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5999454595036783, ""trade_quality_min"": 11.294117647070506}",44.655433719327824,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,91.5,92.0,0.0,-0.17500000000001137,False,False,-0.009544586855741005,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181139_5_BAJAJ-AUTO_CE,15,2026-08-18T11:54:14.108801+05:30,BAJAJ-AUTO,BAJAJ-AUTO,NSE_STOCK_OPTION,41f3d34033d6,"{""contract_quality_min"": 0.0, ""direction_min"": 3.4231921266581087, ""excellent_score_min"": 41.78282670089859, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.1666666666666667, ""final_confidence_min"": 78.01347881899872, ""iv_crush_max"": 24.0, ""market_hostility_max"": 18.649843170801255, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7457121551081283, ""trade_quality_min"": 80.0}",41.78282670089859,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,85.0,85.9,0.0,-15.575000000000003,False,False,-0.7742977877206065,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181124_1_BANKNIFTY_CE,30,2026-08-18T11:55:05.045767+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 54.30425507357381, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 84.12141669907275, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.54219286796231, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.16022678252294997, ""trade_quality_min"": 44.23864648262844}",54.30425507357381,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,412.85,413.95,7.175000000000011,0.0,False,False,0.2870000000000005,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
