skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608201106_1_FINNIFTY_PE,2026-08-20T05:36:41.413520+00:00,FINNIFTY,2026-08-25,26250.0,PE,100.275,100.0,100.55,20.055000000000003,2.0,56.09973378084043,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 56.09973378084043, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.2500000000000002, ""final_confidence_min"": 84.79766934778652, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.789402240313798, ""min_5depth_lots_each_side"": 6.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5484916479680849, ""trade_quality_min"": 45.59726962456091}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201106_2_MIDCPNIFTY_PE,2026-08-20T05:36:41.414496+00:00,MIDCPNIFTY,2026-08-25,14950.0,PE,63.675,63.5,63.85,12.735,2.0,50.99692408174966,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 4.118679481822371, ""excellent_score_min"": 50.99692408174966, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 81.35780192227423, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.6986321310074, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5496662740479018, ""trade_quality_min"": 30.80000000000291}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201106_3_MIDCPNIFTY_CE,2026-08-20T05:36:41.415037+00:00,MIDCPNIFTY,2026-08-25,14950.0,CE,80.375,80.15,80.6,16.075,2.0,50.25556177502163,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 50.25556177502163, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 80.12219807772752, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.6986321310074, ""min_5depth_lots_each_side"": 10.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5598755832037183, ""trade_quality_min"": 30.80000000000291}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201106_4_MIDCPNIFTY_CE,2026-08-20T05:36:41.415686+00:00,MIDCPNIFTY,2026-08-25,14925.0,CE,95.42500000000001,95.15,95.7,19.085000000000004,2.0,49.95556177502163,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 49.95556177502163, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 80.12219807772752, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.6986321310074, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5763688760806885, ""trade_quality_min"": 30.80000000000291}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201106_5_NIFTY_CE,2026-08-20T05:36:41.416181+00:00,NIFTY,2026-08-25,24200.0,CE,139.325,139.15,139.5,25.0,2.0,49.3740596421227,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 1.2556379797443364, ""excellent_score_min"": 49.3740596421227, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 76.05198206059762, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.89539158904809, ""min_5depth_lots_each_side"": 111.0, ""min_top_book_lots"": 15.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2512111968419123, ""trade_quality_min"": 14.54545454545328}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201114_1_NIFTY_CE,2026-08-20T05:44:53.539095+00:00,NIFTY,2026-08-25,24150.0,CE,167.375,167.2,167.55,25.0,2.0,57.292579447628455,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 57.292579447628455, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 84.4478522126436, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.834446282948743, ""min_5depth_lots_each_side"": 48.0, ""min_top_book_lots"": 4.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.20911127707245572, ""trade_quality_min"": 44.753623188405115}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201114_2_BANKNIFTY_PE,2026-08-20T05:44:53.542940+00:00,BANKNIFTY,2026-08-25,57700.0,PE,242.975,242.6,243.35,25.0,2.0,48.47403516442648,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 1.3662398323070046, ""excellent_score_min"": 48.47403516442648, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 76.92924536711433, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.78166602941827, ""min_5depth_lots_each_side"": 24.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.30867373186541824, ""trade_quality_min"": 17.41436464089427}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201114_3_BANKNIFTY_CE,2026-08-20T05:44:53.543752+00:00,BANKNIFTY,2026-08-25,57700.0,CE,342.275,342.0,342.55,25.0,2.0,48.228111994611226,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 48.228111994611226, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 76.51937341742223, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.78166602941827, ""min_5depth_lots_each_side"": 23.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.16068950405376126, ""trade_quality_min"": 17.41436464089427}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201114_4_BANKNIFTY_CE,2026-08-20T05:44:53.544292+00:00,BANKNIFTY,2026-08-25,57600.0,CE,402.925,402.6,403.25,25.0,2.0,47.92811199461123,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 47.92811199461123, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 76.51937341742223, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.78166602941827, ""min_5depth_lots_each_side"": 9.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.16132034497734746, ""trade_quality_min"": 17.41436464089427}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201114_5_BANKNIFTY_PE,2026-08-20T05:44:53.544814+00:00,BANKNIFTY,2026-08-25,57600.0,PE,204.5,204.25,204.75,25.0,2.0,45.27403516442649,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 1.3662398323070046, ""excellent_score_min"": 45.27403516442649, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 76.92924536711433, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.78166602941827, ""min_5depth_lots_each_side"": 17.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.24449877750611246, ""trade_quality_min"": 17.41436464089427}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201116_1_NIFTY_CE,2026-08-20T05:46:01.180969+00:00,NIFTY,2026-08-25,24150.0,CE,166.89999999999998,166.7,167.1,25.0,2.0,56.90643582013903,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 56.90643582013903, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 83.85263824634231, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.19812282879792, ""min_5depth_lots_each_side"": 84.0, ""min_top_book_lots"": 10.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.23966446974236413, ""trade_quality_min"": 42.81081081081711}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201116_2_MIDCPNIFTY_CE,2026-08-20T05:46:01.181587+00:00,MIDCPNIFTY,2026-08-25,14950.0,CE,80.3,80.05,80.55,16.06,2.0,45.201738167626104,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.0706244082290868, ""excellent_score_min"": 45.201738167626104, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 75.32471579863935, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.051048751905384, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6226650062266501, ""trade_quality_min"": 12.213740458016625}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201116_3_MIDCPNIFTY_PE,2026-08-20T05:46:01.182092+00:00,MIDCPNIFTY,2026-08-25,14950.0,PE,65.94999999999999,65.8,66.1,13.189999999999998,2.0,45.009025774144874,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 45.009025774144874, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 75.00352847617063, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.051048751905384, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.454890068233506, ""trade_quality_min"": 12.213740458016625}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201116_4_MIDCPNIFTY_CE,2026-08-20T05:46:01.182569+00:00,MIDCPNIFTY,2026-08-25,14925.0,CE,95.225,94.9,95.55,19.044999999999998,2.0,44.90173816762611,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.0706244082290868, ""excellent_score_min"": 44.90173816762611, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 75.32471579863935, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.051048751905384, ""min_5depth_lots_each_side"": 6.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6825938566552812, ""trade_quality_min"": 12.213740458016625}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201116_5_BANKNIFTY_PE,2026-08-20T05:46:01.183043+00:00,BANKNIFTY,2026-08-25,57700.0,PE,243.64999999999998,243.35,243.95,25.0,2.0,44.24084701915101,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.2913038012543118, ""excellent_score_min"": 44.24084701915101, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 72.43889983306504, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.842968346964174, ""min_5depth_lots_each_side"": 12.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.24625487379437488, ""trade_quality_min"": 2.984014209589638}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201120_1_NIFTY_CE,2026-08-20T05:50:30.144641+00:00,NIFTY,2026-08-25,24200.0,CE,131.15,131.0,131.3,25.0,2.0,59.459306364971816,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 59.459306364971816, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 86.1226127214062, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.976878038836023, ""min_5depth_lots_each_side"": 115.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.22874571101792707, ""trade_quality_min"": 50.71618037132478}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201120_2_NIFTY_CE,2026-08-20T05:50:30.145267+00:00,NIFTY,2026-08-25,24150.0,CE,164.175,163.95,164.4,25.0,2.0,59.15930636497182,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 59.15930636497182, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 86.1226127214062, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.976878038836023, ""min_5depth_lots_each_side"": 79.0, ""min_top_book_lots"": 17.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.27409776153495785, ""trade_quality_min"": 50.71618037132478}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201120_3_NIFTY_CE,2026-08-20T05:50:30.145808+00:00,NIFTY,2026-08-25,24250.0,CE,101.775,101.65,101.9,20.355000000000004,2.0,56.25930636497181,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 56.25930636497181, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 86.1226127214062, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.976878038836023, ""min_5depth_lots_each_side"": 189.0, ""min_top_book_lots"": 13.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.24563989191844754, ""trade_quality_min"": 50.71618037132478}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
